"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1951. ","Son's Fish Market & Restaurant - CLOSED","","https://www.yellowpages.com/dorchester-center-ma/mip/sons-fish-market-restaurant-467291243","Fish & Seafood Markets,Meat Markets,Grocery Stores","","","1132 Blue Hill Ave","Dorchester Center","MA","02124","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1952. ","Kailua Hawaiian Restaurants & Catering - CLOSED","(617) 567-6062","https://www.yellowpages.com/east-boston-ma/mip/kailua-hawaiian-restaurants-catering-2937641","Caterers","","","964 Saratoga St","East Boston","MA","02128","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1953. ","Central Seafood Restaurant - CLOSED","(617) 846-0032","https://www.yellowpages.com/winthrop-ma/mip/central-seafood-restaurant-465617541","Family Style Restaurants,Restaurants","","","205 Winthrop St","Winthrop","MA","02152","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1954. ","La Difference Restaurant - CLOSED","","https://www.yellowpages.com/dorchester-center-ma/mip/la-difference-restaurant-8782444","Family Style Restaurants,Restaurants","","","830 Blue Hill Ave","Dorchester Center","MA","02124","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1955. ","B Street Restaurant and Bar - CLOSED","(617) 332-8743","https://www.yellowpages.com/newton-center-ma/mip/b-street-restaurant-and-bar-462479067","American Restaurants,Family Style Restaurants,Bakeries","","2","796 Beacon St","Newton Center","MA","02459","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1956. ","Le's Restaurant - CLOSED","(617) 928-0900","https://www.yellowpages.com/chestnut-hill-ma/mip/les-restaurant-455823066","Vietnamese Restaurants,Bar & Grills,Asian Restaurants","","7","300 Boylston St","Chestnut Hill","MA","02467","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1957. ","Ararat Restaurant - CLOSED","","https://www.yellowpages.com/watertown-ma/mip/ararat-restaurant-17031459","","","2","71 Arlington St Ste D","Watertown","MA","02472","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1958. ","Verona Restaurant - CLOSED","(617) 926-0010","https://www.yellowpages.com/watertown-ma/mip/verona-restaurant-4357326","Italian Restaurants,Caterers,Mediterranean Restaurants","","11","18 Mount Auburn St","Watertown","MA","02472","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1959. ","Yerardi's Restaurant - CLOSED","","https://www.yellowpages.com/newton-ma/mip/yerardis-restaurant-464986914","Restaurants","","1","418 Watertown St","Newton","MA","02458","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1960. ","ebenezer restaurant - CLOSED","(781) 321-5151","https://www.yellowpages.com/malden-ma/mip/ebenezer-restaurant-467920898","Creole & Cajun Restaurants,Family Style Restaurants","http://www.ebenezer.com","","475 Ferry St","Malden","MA","02148","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1961. ","P & T Vietnamese Restaurant Corp - CLOSED","(781) 397-9990","https://www.yellowpages.com/medford-ma/mip/p-t-vietnamese-restaurant-corp-479725764","Vietnamese Restaurants,Asian Restaurants,Restaurants","","","248 Riverside Ave","Medford","MA","02155","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1962. ","Tornado Restaurant And Lounge - CLOSED","(781) 388-3988","https://www.yellowpages.com/malden-ma/mip/tornado-restaurant-and-lounge-482158217","Cocktail Lounges,Bars,Bar & Grills","","","2 Florence St","Malden","MA","02148","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1963. ","Ce Restaurant - CLOSED","(617) 484-7823","https://www.yellowpages.com/belmont-ma/mip/ce-restaurant-7285265","Take Out Restaurants,Chicken Restaurants,Seafood Restaurants","","","271 Belmont St","Belmont","MA","02478","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1964. ","Bernards Restaurant - CLOSED","(617) 969-3388","https://www.yellowpages.com/chestnut-hill-ma/mip/bernards-restaurant-457410047","Continental Restaurants,Family Style Restaurants,Restaurants","http://facebook.com/bernardsrestaurant","","199 Boylston St","Chestnut Hill","MA","02467","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1965. ","Your's Restaurant Inc - CLOSED","","https://www.yellowpages.com/watertown-ma/mip/yours-restaurant-inc-462966240","Chinese Restaurants,Asian Restaurants,Restaurants","","","557 Mount Auburn St","Watertown","MA","02472","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1966. ","Kwong Narm Restaurant - CLOSED","(617) 328-4188","https://www.yellowpages.com/quincy-ma/mip/kwong-narm-restaurant-465644915","","","","68 Billings St","Quincy","MA","02171","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1967. ","Boston Vossa Nova Restaurant - CLOSED","","https://www.yellowpages.com/malden-ma/mip/boston-vossa-nova-restaurant-469152152","Family Style Restaurants,Restaurants","","1","290 Main St","Malden","MA","02148","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
"1968. ","Annapurna Restaurant - CLOSED","(617) 876-8664","https://www.yellowpages.com/cambridge-ma/mip/annapurna-restaurant-451316321","Middle Eastern Restaurants,Family Style Restaurants,Asian Restaurants","http://www.annapurna2088.com","","2088 Massachusetts Ave","Cambridge","MA","02140","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=66"
